county,region_name,region,2018,2017,2016,2015,2014,2013,2012,2011,2010
SiFO,Алтайский край,RU-ALT,7.3,6.9,8.6,8.9,8.5,8.8,10.2,7.7,9.5
FSFO,Амурская область,RU-AMU,5.1,4.8,5.2,7.7,9.2,9.5,14.4,10.9,13.2
NWFO,Архангельская область,RU-ARK,4.8,6,5.6,6.1,6.7,7.4,6.6,6.9,ё
SFO,Астраханская область,RU-AST,6,5.8,5.8,8,9.7,9.0,9.0,7.0,7.9
CFO,Белгородская область,RU-BEL,4.9,5,6.2,6.3,5.7,6.4,7.3,5.0,5.1
CFO,Брянская область,RU-BRY,4,8.2,7.7,7.9,9.1,9.0,9.0,9.1,7.7
CFO,Владимирская область,RU-VLA,4.9,5.7,6.2,6.7,7.0,6.5,8.0,6.0,6.9
SFO,Волгоградская область,RU-VGG,4.9,4.2,5.9,6.4,8.1,10.1,11.5,9.1,9.8
NWFO,Вологодская область,RU-VLG,5.1,6.3,6.6,5.8,7.7,10.3,8.5,6.5,7.3
CFO,Воронежская область,RU-VOR,4.7,4.7,4.9,4.9,5.6,7.3,7.0,6.3,7.0
CFO,г.Москва,RU-MOW,5.3,5.7,5.7,6,5.8,7.2,8.2,6.1,6.1
NWFO,г.Санкт-Петербург,RU-SPE,3.8,3.6,3.9,4.4,6.1,4.7,4.7,4.3,4.7
FSFO,Еврейская автономная область,RU-YEV,9.5,10.6,16.2,12.8,15.3,18.8,14.6,14.1,10.4
FSFO,Забайкальский край,RU-ZAB,7.1,5.7,7,7.9,7.3,8.8,7.7,6.3,7.5
CFO,Ивановская область,RU-IVA,3.4,3.5,5.9,5.5,6.2,7.8,5.3,8.2,6.7
SiFO,Иркутская область,RU-IRK,7.1,7,6,7.7,8.8,10.1,9.7,8.9,9.9
NKFO,Кабардино-Балкарская Республика,RU-KB,4.9,4.5,6.7,6.8,6.6,6.9,8.4,6.1,6.1
NWFO,Калининградская область,RU-KGD,4.4,4.5,4.5,6.1,8.1,6.0,6.3,4.6,4.5
CFO,Калужская область,RU-KLU,4.7,4.5,6.8,8.7,7.5,9.1,10.3,6.8,7.2
FSFO,Камчатский край,RU-KAM,5.7,5.9,9,9.4,10.4,10.1,11.8,10.1,9.2
NKFO,Карачаево-Черкесская Республика,RU-KC,6.8,6.9,8.9,8.4,8.4,10.5,11.0,7.8,10.5
SiFO,Кемеровская область,RU-KEM,5.1,6.9,6,6.3,7.1,7.5,9.1,7.5,8.1
PVFO,Кировская область,RU-KIR,4.5,4.1,5,4.2,4.5,5.5,7.1,6.4,7.6
CFO,Костромская область,RU-KOS,5.7,7.1,7.6,7,8.9,8.8,7.9,7.1,6.5
SFO,Краснодарский край,RU-KDA,4.9,4.3,5,5.4,5.6,6.0,6.7,6.0,5.3
SiFO,Красноярский край,RU-KYA,5.5,6.2,7.2,7.6,8.4,8.3,9.7,7.9,9.1
UFO,Курганская область,RU-KGN,6.5,4.6,6.5,5.8,8.8,8.2,8.8,9.6,8.8
CFO,Курская область,RU-KRS,5.2,5.6,6,4.7,6.3,8.1,7.5,7.5,8.0
NWFO,Ленинградская область,RU-LEN,3.2,4.6,4.2,6,6.8,5.6,6.3,5.2,6.1
CFO,Липецкая область,RU-LIP,3.5,3.4,7.4,7.4,8.0,8.3,8.1,7.1,6.2
FSFO,Магаданская область,RU-MAG,3.4,3.7,3.7,5.1,6.5,9.3,9.1,7.2,9.4
CFO,Московская область,RU-MOS,4.1,4.1,4.5,4.9,6.9,7.2,7.4,6.2,6.7
NWFO,Мурманская область,RU-MUR,5.1,5.4,3.9,5.8,6.3,6.0,6.6,8.5,5.2
PVFO,Hижегородская область,RU-NIZ,5.7,5.2,6.4,6.8,7.8,8.5,9.2,7.0,8.0
NWFO,Hенецкий автономный округ,RU-NEN,1.7,7.4,1.3,5.3,5.6,8.0,3.7,10.7,5.7
